Rank,Title,RatingTomatometer,No_of_Reviews,Genres
86,Hannah Gadsby: Nanette,100,44,comedy
87,Repo Man,98,44,comedy
88,The Truman Show,94,125,comedy
89,Le Havre,99,93,comedy
90,Say Anything...,98,43,comedy
91,Wallace & Gromit: The Curse of the Were-Rabbit,95,181,comedy
92,Hairspray,98,42,comedy
93,Silver Linings Playbook,92,244,comedy
94,American Graffiti,96,47,comedy
95,Monsieur Lazhar,97,117,comedy
96,Juno,94,208,comedy
97,Mafioso,96,50,comedy
98,We Are the Best!,96,129,comedy
99,Manhattan,95,62,comedy
100,Bullets Over Broadway,97,58,comedy
1,Won't You Be My Neighbor?,98,216,documentary
2,I Am Not Your Negro,98,192,documentary
3,Man on Wire,100,157,documentary
4,Life Itself,97,196,documentary
5,Faces Places,99,129,documentary
6,20 Feet From Stardom,99,118,documentary
7,Three Identical Strangers,96,157,documentary
8,The Last Waltz,98,47,documentary
9,Amy,95,209,documentary
10,Taxi to the Dark Side,100,92,documentary
11,Kedi,98,114,documentary
12,Blackfish,98,126,documentary
13,Citizenfour,97,143,documentary
14,Murderball,98,138,documentary
15,Minding the Gap,100,63,documentary
16,Shirkers,100,58,documentary
17,Tower,99,92,documentary
18,Weiner,96,162,documentary
19,Inside Job,98,146,documentary
20,The Missing Picture,99,86,documentary
21,Deliver Us from Evil,100,72,documentary
22,Seymour: An Introduction,100,65,documentary
23,RBG,95,153,documentary
24,Anvil! The Story of Anvil,98,135,documentary
25,Jiro Dreams of Sushi,99,92,documentary
26,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,100,56,documentary
27,The Square,100,62,documentary
28,Waste Land,100,70,documentary
29,Hoop Dreams,98,55,documentary
30,"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",100,43,documentary
31,Strong Island,100,45,documentary
32,Afghan Star,100,60,documentary
33,Capturing the Friedmans,97,152,documentary
34,Waltz with Bashir,96,148,documentary
35,Iris,98,96,documentary
36,The Overnighters,99,69,documentary
37,Jodorowsky's Dune,97,115,documentary
38,The Interrupters,99,89,documentary
39,How to Survive a Plague,99,73,documentary
40,March of the Penguins,95,182,documentary
41,56 Up,99,67,documentary
42,Last Train Home,100,54,documentary
43,The Invisible War,99,70,documentary
44,Kurt Cobain: Montage Of Heck,98,90,documentary
45,Project Nim,97,141,documentary
46,Spellbound,97,139,documentary
47,Everyday Sunshine: The Story of Fishbone,100,45,documentary
48,Nostalgia for the Light,100,45,documentary
49,We Were Here,100,44,documentary
50,Enron: The Smartest Guys in the Room,97,119,documentary
51,Bill Cunningham New York,99,72,documentary
52,The Look of Silence,96,129,documentary
53,Rivers and Tides: Andy Goldsworthy Working With Time,99,71,documentary
54,When We Were Kings,98,47,documentary
55,The Act Of Killing,95,147,documentary
56,13th,97,92,documentary
57,This Is Not a Film,97,98,documentary
58,Elaine Stritch: Shoot Me,98,65,documentary
59,Hitchcock/Truffaut,96,114,documentary
60,The King of Kong: A Fistful of Quarters,97,100,documentary
61,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,96,140,documentary
62,Bowling for Columbine,95,169,documentary
63,The Imposter,96,113,documentary
64,The War Tapes,98,65,documentary
65,Cave of Forgotten Dreams,96,133,documentary
66,West of Memphis,96,112,documentary
67,The Beatles: Eight Days a Week - The Touring Years,96,99,documentary
68,Ai Weiwei: Never Sorry,97,79,documentary
69,Beware Of Mr. Baker,98,52,documentary
70,Jafar Panahi's Taxi,96,96,documentary
71,Marwencol,98,60,documentary
72,Undefeated,96,100,documentary
73,Sicko,92,216,documentary
74,Finders Keepers,98,46,documentary
75,Mea Maxima Culpa: Silence In The House Of God,98,48,documentary
76,Blindsight,98,50,documentary
77,Sound City,98,45,documentary
78,The Devil Came on Horseback,98,51,documentary
79,Call Me Kuchu,98,44,documentary
80,The Island President,98,46,documentary
81,For the Bible Tells Me So,98,49,documentary
82,Welcome To Leith,98,43,documentary
83,Keep On Keepin' On,98,41,documentary
84,Let The Fire Burn,98,42,documentary
85,Restrepo,96,114,documentary
86,The Life and Times of Hank Greenberg,97,65,documentary
87,Born To Be Wild,98,49,documentary
88,Surfwise,98,44,documentary
89,"Lo and Behold, Reveries of the Connected World",94,132,documentary
90,Bus 174,97,78,documentary
91,Stories We Tell,94,134,documentary
92,Wordplay,95,120,documentary
93,Control Room,96,110,documentary
94,Burma VJ: Reporter i et Lukket Land,97,62,documentary
95,No End in Sight,96,95,documentary
96,49 Up,97,65,documentary
97,The Cove,95,128,documentary
98,Winged Migration,95,133,documentary
99,Muscle Shoals,96,82,documentary
100,The Queen of Versailles,95,111,documentary
1,Black Panther,97,444,drama
2,Lady Bird,99,349,drama
3,Citizen Kane,100,80,drama
4,BlacKkKlansman,95,371,drama
5,Moonlight,98,347,drama
6,Wonder Woman,93,410,drama
7,All About Eve,100,65,drama
8,Metropolis,99,118,drama
9,A Quiet Place,95,330,drama
10,Spotlight,97,344,drama
11,Dunkirk,92,413,drama
12,Selma,99,289,drama
13,Casablanca,97,77,drama
14,La Grande illusion,97,66,drama
15,The Godfather,98,88,drama
16,Call Me by Your Name,95,311,drama
17,Arrival,94,389,drama
18,Leave No Trace,100,208,drama
19,Star Wars: The Last Jedi,91,419,drama
20,Logan,93,371,drama
21,The Shape of Water,92,392,drama
22,Boyhood,97,302,drama
23,The Maltese Falcon,100,53,drama
24,Gravity,96,335,drama
25,12 Years a Slave,95,348,drama
26,Argo,96,340,drama
27,Repulsion,100,60,drama
28,Sunset Boulevard,98,61,drama
29,Thor: Ragnarok,92,370,drama
30,Rear Window,100,64,drama
31,The Battle of Algiers,98,85,drama
32,Baby Driver,93,343,drama
33,The Florida Project,96,274,drama
34,Alien,97,110,drama
35,La La Land,91,414,drama
36,Manchester by the Sea,95,318,drama
37,Bicycle Thieves,98,57,drama
38,M,100,51,drama
39,Taxi Driver,98,82,drama
40,Touch of Evil,96,74,drama
41,Seven Samurai,100,58,drama
42,Spider-Man: Homecoming,92,350,drama
43,All Quiet on the Western Front,100,42,drama
44,Hell or High Water,97,259,drama
45,War for the Planet of the Apes,93,323,drama
46,12 Angry Men,100,50,drama
47,The Treasure of the Sierra Madre,100,45,drama
48,"Three Billboards Outside Ebbing, Missouri",91,363,drama
49,The Babadook,98,227,drama
50,A Streetcar Named Desire,98,56,drama
51,Vertigo,96,71,drama
52,The 400 Blows,100,55,drama
53,Rebecca,100,51,drama
54,Brooklyn,97,258,drama
55,The Night of the Hunter,98,65,drama
56,Lawrence of Arabia,98,80,drama
57,Army of Shadows,97,72,drama
58,The Dark Knight,94,332,drama
59,The Death of Stalin,96,228,drama
60,The Wrestler,98,225,drama
61,Rashômon,98,52,drama
62,Jaws,97,79,drama
63,The Wages of Fear,100,43,drama
64,L.A. Confidential,99,109,drama
65,Creed,95,285,drama
66,Open City,100,42,drama
67,On the Waterfront,98,62,drama
68,Harry Potter and the Deathly Hallows - Part 2,96,320,drama
69,The Grapes of Wrath,100,44,drama
70,Tokyo Story,100,41,drama
71,The Big Sleep,97,59,drama
72,Roman Holiday,98,53,drama
73,The Hurt Locker,97,277,drama
74,The Last Picture Show,100,51,drama
75,Cool Hand Luke,100,49,drama
76,The Leopard,100,46,drama
77,Star Wars: Episode IV - A New Hope,93,114,drama
78,Paterson,96,241,drama
79,Phantom Thread,91,303,drama
80,Room,94,293,drama
81,Hidden Figures,93,284,drama
82,"I, Tonya",89,341,drama
83,"The Godfather, Part II",97,72,drama
84,Chinatown,98,64,drama
85,Battleship Potemkin,100,45,drama
86,The Searchers,100,42,drama
87,The Post,88,357,drama
88,Anatomy of a Murder,100,42,drama
89,Gone With the Wind,92,89,drama
90,Carol,94,285,drama
91,Nightcrawler,95,251,drama
92,Star Trek,94,342,drama
